event	stage	breaker 1 (red)	breaker 2 (blue)	winner	battle rounds	number of judges	breaker 1 round wins	breaker 2 round wins	tie rounds	breaker 1 vote count	breaker 2 vote count	tie vote count	judge 1 name	judge 2 name	judge 3 name	judge 4 name	judge 5 name	judge 6 name	judge 7 name	judge 8 name	judge 9 name	r1j1over	r1j2over	r1j3over	r1j4over	r1j5over	r1j6over	r1j7over	r1j8over	r1j9over	r2j1over	r2j2over	r2j3over	r2j4over	r2j5over	r2j6over	r2j7over	r2j8over	r2j9over	r3j1over	r3j2over	r3j3over	r3j4over	r3j5over	r3j6over	r3j7over	r3j8over	r3j9over																
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Double D	Saïd	Double D	3	5	2	1	0	8	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	red					red	red	red	blue	red					red	blue	red	blue	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Sarro	Qube	Sarro	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Saïd	Qube	Saïd	3	5	2	1	0	12	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	red	blue					red	red	red	red	red					red	red	red	red	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Double D	Sarro	Double D	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Qube	Deadlydani	Qube	2	5	2	0	0	7	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	blue	red					red	blue	red	blue	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Phil	Saïd	Saïd	2	5	0	2	0	0	10	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Lafilove	Sarro	Sarro	3	5	1	2	0	8	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	blue	red					red	red	red	red	blue					red	blue	blue	blue	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Double D	Kidmark	Double D	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	YosemiteSam	Deadlydani	Deadlydani	2	5	0	2	0	3	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	blue	blue	blue					blue	blue	red	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Qube	Mayo	Qube	2	5	2	0	0	8	2	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Saïd	Anton	Saïd	3	5	2	1	0	11	4	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	red	blue					red	red	red	red	red					red	red	blue	red	red																				
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Phil	Toschkin	Phil	2	5	2	0	0	7	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	blue	red					red	red	red	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Ali	Sarro	Sarro	2	5	0	2	0	2	8	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	red	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Lafilove	Freshman Cal	Lafilove	2	5	2	0	0	7	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	blue	red					red	blue	red	red	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Kidmark	Wall D	Kidmark	2	5	2	0	0	7	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	red	red					red	red	red	red	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Cicov	Double D	Double D	2	5	0	2	0	3	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	red	red	blue					blue	red	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Reza	Deadlydani	Deadlydani	1	5	0	1	0	0	5	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	YosemiteSam	Flo	YosemiteSam	1	5	1	0	0	4	1	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	blue	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Samutilio	Mayo	Mayo	1	5	0	1	0	0	5	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Erik Daily	Qube	Qube	1	5	0	1	0	0	5	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Red Rock	Anton	Anton	1	5	0	1	0	0	5	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Saïd	Stike	Saïd	1	5	1	0	0	5	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Toschkin	Denzko	Toschkin	1	5	1	0	0	5	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Phil	Vic	Phil	1	5	1	0	0	5	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Sarro	Soulex	Sarro	1	5	1	0	0	3	2	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	red	blue	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Artform	Ali	Ali	1	5	0	1	0	2	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	blue	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Jamal	Freshman Cal	Freshman Cal	1	5	0	1	0	1	4	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Noindex	Lafilove	Lafilove	1	5	0	1	0	2	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	red	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Wall D	Laws	Wall D	1	5	1	0	0	5	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Tayfun	Kidmark	Kidmark	1	5	0	1	0	2	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	red	red	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Robin	Double D	Double D	1	5	0	1	0	0	5	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BBoy Top 32 Knock-Out	Hungyeol	Cicov	Cicov	1	5	0	1	0	0	5	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue																																						
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Pauline	Jilou	Jilou	2	5	0	2	0	0	10	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Alicia	Naomi	Alicia	2	5	2	0	0	7	3	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	red	blue	red	red					red	red	blue	red	red																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Naomi	Jilou	Jilou	2	5	0	2	0	0	10	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Alicia	Pauline	Pauline	2	5	0	2	0	1	9	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	red					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Sude	Jilou	Jilou	2	5	0	2	0	3	7	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	red	blue					blue	red	blue	blue	red																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Lou	Naomi	Naomi	2	5	0	2	0	2	8	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Neeli	Pauline	Pauline	2	5	0	2	0	0	10	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Alicia	Ida	Alicia	3	5	2	1	0	11	4	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	red	blue					red	red	blue	red	red					red	red	red	red	red																				
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Jilou	Manu	Jilou	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Elina	Sude	Sude	2	5	0	2	0	1	9	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	red	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Ghenet	Naomi	Naomi	2	5	0	2	0	1	9	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Lou	Drastic	Lou	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Pauline	Nadja	Pauline	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Neeli	Viola Luba	Neeli	3	5	2	1	0	7	8	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	blue	blue	red	red					blue	blue	blue	blue	blue					red	red	blue	red	red																				
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Ida	Joëlle	Ida	2	5	2	0	0	10	0	0	SkyChief	Admir	Chakal	Movie One	Gizmo					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2021	1vs1 BGirl Top 16 Knock-Out	Tina	Alicia	Alicia	3	5	1	2	0	5	10	0	SkyChief	Admir	Chakal	Movie One	Gizmo					blue	blue	red	blue	blue					red	blue	red	red	blue					red	blue	blue	blue	blue																				
Groove E Session 2020	1vs1 Groove E Session Final Knock-Out	Tsukki	Grom	Grom	3	3	1	2	0	3	6	0	RoxRite	Shlag	Xak							red	red	red							blue	blue	blue							blue	blue	blue																						
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Lee-On	Rico	Lee-On	2	5	2	0	0	9	1	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					red	red	red	red	red					red	blue	red	red	red																													
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Maik MD	Rico	Rico	2	5	0	2	0	2	8	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					blue	blue	blue	blue	red					blue	blue	red	blue	blue																													
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Lee-On	Sakul	Lee-On	3	5	2	1	0	11	4	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					red	red	red	red	red					red	blue	blue	blue	blue					red	red	red	red	red																				
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Max	Rico	Rico	1	5	0	1	0	0	5	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					blue	blue	blue	blue	blue																																						
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Maik MD	Anna-Lia	Maik MD	1	5	1	0	0	5	0	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					red	red	red	red	red																																						
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Lolo	Sakul	Sakul	1	5	0	1	0	0	5	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					blue	blue	blue	blue	blue																																						
Castle Rock Jam & Battle - Vol. 1 2019	1vs1 Breaking Top 8 Knock-Out	Lee-On	Jonas	Lee-On	1	5	1	0	0	5	0	0	Ibot	Marox	Primary Vic	Hynamite	Istwan					red	red	red	red	red																																						
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	NoIndex	Double D	Double D	2	5	0	2	0	2	8	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					blue	blue	red	blue	blue					blue	blue	red	blue	blue																													
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	Double D	Rossi	Double D	2	5	2	0	0	9	1	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	blue	red	red					red	red	red	red	red																													
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	NoIndex	Denzko	NoIndex	2	5	2	0	0	10	0	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	Rossi	Bobby Balboa	Rossi	3	5	2	1	0	10	5	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	blue	red					blue	red	blue	blue	blue					red	red	red	red	red																				
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	WalD	Double D	Double D	3	5	1	2	0	3	11	1	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	blue	blue					blue	blue	blue	blue	blue					blue	blue	blue	blue	tie																				
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	ZIPPO	Denzko	Denzko	2	5	0	2	0	1	9	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2019	1vs1 BBoy Top 8 Knock-Out	NoIndex	Jamal	NoIndex	2	5	2	0	0	10	0	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	red	red					red	red	red	red	red																													
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Pauline	Alicia	Pauline	2	5	2	0	0	8	2	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	red	red					blue	blue	red	red	red																													
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Alicia	Joëlle (LL)	Alicia	3	5	2	1	0	8	7	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	blue	blue					blue	red	red	blue	blue					red	blue	red	blue	red																				
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Pauline	Joanna	Pauline	3	5	2	1	0	9	6	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	blue	red					blue	blue	blue	blue	red					blue	red	red	red	red																				
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Bitu	Joëlle (LL)	Joëlle (LL)	2	5	0	2	0	1	9	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Alicia	Joëlle	Alicia	2	5	2	0	0	7	3	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	red	blue					blue	red	red	blue	red																													
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Naomi	Joanna	Joanna	2	5	0	2	0	1	9	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					blue	blue	blue	blue	red					blue	blue	blue	blue	blue																													
German Breaking Championship 2019	1vs1 BGirl Top 8 Knock-Out	Pauline	ThaiBreak	Pauline	2	5	2	0	0	8	2	0	Lehmi	Jilou	Speedy	Mallekid	Chau-Lin					red	red	red	red	blue					red	red	red	blue	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Onel	Lego Sam	Onel	4	5	3	1	0	12	7	1	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	red	red	red					blue	red	blue	red	red					blue	red	blue	blue	red					red	red	tie	red	red											
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Kuzya	Lego Sam	Lego Sam	2	5	0	2	0	4	6	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	blue	blue	blue	red					blue	blue	blue	red	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Onel	Jamal	Onel	2	5	2	0	0	8	2	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	blue	red	red	blue					red	red	red	red	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Lego Sam	Sam	Lego Sam	2	5	2	0	0	8	2	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	blue	red	red					red	red	red	red	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Knine	Kuzya	Kuzya	2	5	0	2	0	0	10	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Jamal	Sky	Jamal	3	5	2	1	0	9	4	2	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	blue	red	red	red					blue	blue	blue	red	red					red	tie	red	tie	red																				
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Lussy Sky	Onel	Onel	2	5	0	2	0	4	6	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	red	red					red	blue	blue	red	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Panda	Sam	Sam	3	5	1	2	0	7	8	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	red	blue	blue	red					red	blue	red	blue	red					red	blue	blue	blue	red																				
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Lego Sam	Shigekix	Lego Sam	3	5	2	1	0	8	4	3	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	blue	blue	blue					red	red	tie	red	red					red	tie	blue	tie	red																				
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Ami	Kuzya	Kuzya	2	5	0	2	0	0	10	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Knine	Bbosa	Knine	2	5	2	0	0	9	1	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	red	red	red					red	red	blue	red	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Duk	Sky	Sky	2	5	0	2	0	2	8	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	red	blue	blue	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Jamal	Mounir	Jamal	2	5	2	0	0	7	2	1	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	blue	tie	red	red					red	blue	red	red	red																													
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	Onel	Noé	Onel	4	5	2	1	1	10	9	1	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					red	red	red	red	red					blue	blue	blue	blue	blue					blue	red	blue	tie	red					blue	red	red	blue	red											
