event	stage	breaker 1 (red)	breaker 2 (blue)	winner	battle rounds	number of judges	breaker 1 round wins	breaker 2 round wins	tie rounds	breaker 1 vote count	breaker 2 vote count	tie vote count	judge 1 name	judge 2 name	judge 3 name	judge 4 name	judge 5 name	judge 6 name	judge 7 name	judge 8 name	judge 9 name	r1j1over	r1j2over	r1j3over	r1j4over	r1j5over	r1j6over	r1j7over	r1j8over	r1j9over	r2j1over	r2j2over	r2j3over	r2j4over	r2j5over	r2j6over	r2j7over	r2j8over	r2j9over	r3j1over	r3j2over	r3j3over	r3j4over	r3j5over	r3j6over	r3j7over	r3j8over	r3j9over																
Taipei BBoy City 2018	1vs1 Undisputed Top 16 Knock-Out	T.Swing	Lussy Sky	Lussy Sky	2	5	0	2	0	0	10	0	Freeze	Felix	Ken Swift	Lil Dragon	Ayumi					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kuzya	Ratin	Kuzya	3	3	3	0	0	9	0	0	Greku	Kid Glyde	Kawa							red	red	red							red	red	red							red	red	red																						
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Ratin	Foundkid	Ratin	3	3	2	1	0	6	3	0	Greku	Kid Glyde	Kawa							blue	blue	blue							red	red	red							red	red	red																						
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kuzya	Lorenzo	Kuzya	2	3	2	0	0	5	1	0	Greku	Kid Glyde	Kawa							red	red	red							red	blue	red																															
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kazuki Rok	Foundkid	Foundkid	2	3	0	2	0	2	4	0	Greku	Kid Glyde	Kawa							blue	blue	red							blue	red	blue																															
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Johnny Fox	Ratin	Ratin	3	3	1	2	0	4	5	0	Greku	Kid Glyde	Kawa							red	blue	red							blue	red	blue							blue	blue	red																						
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Lorenzo	Nastya	Lorenzo	2	3	2	0	0	6	0	0	Greku	Kid Glyde	Kawa							red	red	red							red	red	red																															
Solverde World Battle - The B-Boy Gala 2018	1vs1 Breaking Top 8 Knock-Out	Kuzya	Perninha	Kuzya	2	3	2	0	0	6	0	0	Greku	Kid Glyde	Kawa							red	red	red							red	red	red																															
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Gun	Lil G	Lil G	3	5	1	2	0	6	9	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	red	red	red	blue					blue	blue	blue	blue	blue					blue	red	blue	red	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Vicious	Lil G	Lil G	3	5	0	2	1	2	12	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	blue	blue					blue	red	red	blue	tie					blue	blue	blue	blue	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	River	Gun	Gun	2	5	0	2	0	1	8	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					tie	blue	red	blue	blue					blue	blue	blue	blue	blue																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Sniper	Lil G	Lil G	3	5	1	2	0	4	10	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	blue	blue					red	tie	red	red	red					blue	blue	blue	blue	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Davy	Vicious	Vicious	3	5	0	2	1	3	10	2	Ken Swift	Poe One	Reveal	Kid David	Kowloon					tie	blue	blue	red	blue					blue	red	red	blue	tie					blue	blue	blue	blue	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Gun	Disa	Gun	3	5	2	1	0	7	8	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	blue	blue					blue	red	red	blue	red					red	red	blue	red	red																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Panda	River	River	2	5	0	2	0	1	9	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	red	blue					blue	blue	blue	blue	blue																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Lil G	Undercut	Lil G	2	5	2	0	0	10	0	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	red	red	red	red					red	red	red	red	red																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Wenlong	Sniper	Sniper	2	5	0	2	0	2	8	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	red	red					blue	blue	blue	blue	blue																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Vicious	Chenie Chen	Vicious	4	5	2	1	1	12	6	2	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	blue	blue	blue	red					blue	red	red	blue	tie					tie	red	red	red	red					red	red	red	red	red											
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	YDJ	Davy	Davy	3	5	1	2	0	6	8	1	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	red	red	red	blue					red	red	blue	blue	blue					blue	blue	blue	tie	blue																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Disa	Breath	Disa	2	5	2	0	0	10	0	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	red	red	red	red					red	red	red	red	red																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Gun	Cafrey Cat	Gun	3	5	2	1	0	11	4	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					blue	red	blue	blue	blue					red	red	red	red	red					red	red	red	red	red																				
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Karma	River	River	2	5	0	2	0	3	7	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	red	blue	blue	blue					blue	blue	blue	red	blue																													
Green Panda Festival 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Zip Rock	Panda	Panda	3	5	1	2	0	5	10	0	Ken Swift	Poe One	Reveal	Kid David	Kowloon					red	blue	red	blue	red					blue	blue	blue	blue	blue					blue	blue	red	red	blue																				
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	Lucky	Lotus	Lucky	3	3	2	1	0	4	5	0	Jaekwon	Jazzy Jes	Sambo							red	blue	red							blue	blue	blue							blue	red	red																						
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	Moras	Lotus	Lotus	2	3	0	2	0	0	6	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue							blue	blue	blue																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	Lucky	ErikFrost	Lucky	2	3	2	0	0	6	0	0	Jaekwon	Jazzy Jes	Sambo							red	red	red							red	red	red																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	Lotus	Glebasheet	Lotus	1	3	1	0	0	2	1	0	Jaekwon	Jazzy Jes	Sambo							red	red	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	Lee-On	Moras	Moras	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	Smile	ErikFrost	ErikFrost	1	3	0	1	0	1	2	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	red																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Kids Top 8 Knock-Out	E-Meal	Lucky	Lucky	1	3	0	1	0	1	2	0	Jaekwon	Jazzy Jes	Sambo							blue	red	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Mini Max	Amanda	Mini Max	2	3	2	0	0	5	1	0	Jaekwon	Jazzy Jes	Sambo							red	red	red							red	blue	red																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Amanda	Dj Edgar	Amanda	4	3	2	1	1	6	4	2	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue							red	red	tie							blue	red	tie							red	red	red													
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Wear	Mini Max	Mini Max	2	3	0	2	0	0	6	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue							blue	blue	blue																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Little Cheese	Dj Edgar	Dj Edgar	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Sky II	Amanda	Amanda	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Paco	Mini Max	Mini Max	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Minis Top 8 Knock-Out	Elena	Wear	Wear	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Marox	Nixter	Marox	2	3	2	0	0	5	0	1	Jaekwon	Jazzy Jes	Sambo							red	tie	red							red	red	red																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Nixter	Shinigabry	Nixter	4	3	2	1	1	6	5	1	Jaekwon	Jazzy Jes	Sambo							red	tie	blue							red	red	red							blue	blue	blue							blue	red	red													
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Marox	Mattix	Marox	2	3	2	0	0	6	0	0	Jaekwon	Jazzy Jes	Sambo							red	red	red							red	red	red																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	LumberMax	Shinigabry	Shinigabry	2	3	0	2	0	1	5	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue							blue	red	blue																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	MATY	Nixter	Nixter	2	3	0	2	0	0	6	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue							blue	blue	blue																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Sleit	Mattix	Mattix	3	3	0	2	1	2	6	1	Jaekwon	Jazzy Jes	Sambo							blue	blue	red							red	blue	tie							blue	blue	blue																						
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Miro	Marox	Marox	2	3	0	2	0	1	5	0	Jaekwon	Jazzy Jes	Sambo							blue	red	blue							blue	blue	blue																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Shinigabry	Flow	Shinigabry	1	3	1	0	0	2	1	0	Jaekwon	Jazzy Jes	Sambo							blue	red	red																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	LumberMax	Raph	LumberMax	1	3	1	0	0	3	0	0	Jaekwon	Jazzy Jes	Sambo							red	red	red																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	V-Nuk	Nixter	Nixter	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	MATY	Luiza	MATY	1	3	1	0	0	2	1	0	Jaekwon	Jazzy Jes	Sambo							blue	red	red																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Barbi	Mattix	Mattix	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Zehr	Sleit	Sleit	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Marox	Zulu D	Marox	2	3	1	0	1	3	2	1	Jaekwon	Jazzy Jes	Sambo							tie	blue	red							red	red	blue																															
Nothing But Flavor Festival 2018	1vs1 BOTK Breaking Teens Top 16 Knock-Out	Giulinano	Miro	Miro	1	3	0	1	0	0	3	0	Jaekwon	Jazzy Jes	Sambo							blue	blue	blue																																								
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Phil Wizard	Mowgly	Phil Wizard	2	5	2	0	0	10	0	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	red	red	red	red					red	red	red	red	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Mowgly	Daniel	Mowgly	2	5	2	0	0	10	0	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	red	red	red	red					red	red	red	red	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Shigekix	Phil Wizard	Phil Wizard	2	5	0	2	0	2	8	0	El Niño	Taisuke	Renegade	Moy	Reveal					blue	blue	blue	blue	red					red	blue	blue	blue	blue																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Onel	Daniel	Daniel	2	5	0	2	0	3	7	0	El Niño	Taisuke	Renegade	Moy	Reveal					blue	blue	blue	red	blue					red	blue	blue	red	blue																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Mini Joe	Mowgly	Mowgly	2	5	0	2	0	4	6	0	El Niño	Taisuke	Renegade	Moy	Reveal					blue	red	blue	red	blue					blue	red	red	blue	blue																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Tawfiq	Phil Wizard	Phil Wizard	2	5	0	2	0	0	10	0	El Niño	Taisuke	Renegade	Moy	Reveal					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Shigekix	Nord Diamond	Shigekix	2	5	2	0	0	10	0	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	red	red	red	red					red	red	red	red	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Daniel	Lorenzo	Daniel	2	5	2	0	0	6	4	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	blue	blue	red	red					red	blue	red	blue	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Onel	Nice	Onel	3	5	2	1	0	9	6	0	El Niño	Taisuke	Renegade	Moy	Reveal					blue	blue	red	red	blue					red	blue	red	blue	red					red	red	red	red	blue																				
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Mowgly	Chau-Lin	Mowgly	2	5	2	0	0	8	2	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	blue	blue	red	red					red	red	red	red	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Mini Joe	Ayaa	Mini Joe	2	5	2	0	0	7	3	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	blue	blue	red	red					red	red	red	blue	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Phil Wizard	Ayane	Phil Wizard	2	5	2	0	0	10	0	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	red	red	red	red					red	red	red	red	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Bad Matty	Tawfiq	Tawfiq	2	5	0	2	0	1	9	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Nord Diamond	Snap	Nord Diamond	2	5	2	0	0	8	2	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	red	red	blue	blue					red	red	red	red	red																													
The Notorious IBE 2018	1vs1 Undisputed Top 16 Knock-Out	Shigekix	Kaneki	Shigekix	2	5	2	0	0	10	0	0	El Niño	Taisuke	Renegade	Moy	Reveal					red	red	red	red	red					red	red	red	red	red																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Sunni	Stripes	Stripes	5	5	2	3	0	13	12	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	blue	red	blue					red	blue	blue	blue	blue					red	red	red	red	red					red	blue	red	red	red					blue	blue	red	red	blue		
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Stripes	Justen	Stripes	2	5	2	0	0	10	0	0	Renegade	Extremo	Kleju	Niek	Admir					red	red	red	red	red					red	red	red	red	red																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Sunni	Beetle	Sunni	3	5	2	1	0	9	6	0	Renegade	Extremo	Kleju	Niek	Admir					red	red	red	red	red					blue	blue	red	blue	blue					blue	red	red	blue	red																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Yan	Justen	Justen	2	5	0	2	0	1	9	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	blue	blue	red					blue	blue	blue	blue	blue																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Lagaet	Stripes	Stripes	3	5	1	2	0	6	9	0	Renegade	Extremo	Kleju	Niek	Admir					blue	red	blue	red	blue					red	red	blue	red	blue					blue	blue	blue	red	blue																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Luan San	Beetle	Beetle	3	5	1	2	0	5	10	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	blue	blue	blue					red	red	red	red	red					blue	blue	blue	blue	blue																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Wing Zero	Sunni	Sunni	2	5	0	2	0	2	8	0	Renegade	Extremo	Kleju	Niek	Admir					blue	red	blue	blue	blue					blue	blue	blue	blue	red																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Justen	Heady	Justen	3	5	2	1	0	8	7	0	Renegade	Extremo	Kleju	Niek	Admir					red	red	red	red	red					blue	blue	blue	blue	blue					red	blue	red	blue	red																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Yan	Deeogo	Yan	3	5	2	1	0	8	7	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	red	red	red					red	blue	blue	blue	red					red	blue	blue	red	red																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Stripes	Twister	Stripes	2	5	2	0	0	9	1	0	Renegade	Extremo	Kleju	Niek	Admir					blue	red	red	red	red					red	red	red	red	red																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Cri6	Lagaet	Lagaet	2	5	0	2	0	0	10	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Greku	Beetle	Beetle	3	5	1	2	0	7	8	0	Renegade	Extremo	Kleju	Niek	Admir					blue	red	red	blue	blue					red	blue	red	blue	red					blue	blue	red	red	blue																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Luan San	Mighty Jim	Luan San	3	5	2	1	0	10	5	0	Renegade	Extremo	Kleju	Niek	Admir					red	red	red	red	red					blue	blue	blue	red	blue					red	red	red	blue	red																				
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Lucky	Sunni	Sunni	2	5	0	2	0	1	9	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	blue	blue	blue					blue	blue	red	blue	blue																													
Unbreakable World Final 2018	1vs1 Undisputed B-Boy Top 16 Knock-Out	Gimnast	Wing Zero	Wing Zero	2	5	0	2	0	3	7	0	Renegade	Extremo	Kleju	Niek	Admir					blue	blue	blue	red	red					blue	blue	red	blue	blue																													
Taipei Bboy City World Final 2017	1vs1 Undisputed Top 16 Knock-Out	Aslan aka Bootuz	Vero	Vero	5	5	2	3	0	11	14	0	Skim	Storm	Renegade	Gino	Narumi					blue	red	red	red	red					blue	blue	red	red	blue					blue	blue	blue	blue	blue					red	blue	blue	red	red					blue	red	blue	red	blue		
Taipei Bboy City World Final 2017	1vs1 Undisputed Top 16 Knock-Out	Mounir	Vero	Vero	2	5	0	2	0	1	9	0	Skim	Storm	Renegade	Gino	Narumi					blue	blue	blue	blue	blue					blue	blue	red	blue	blue																													
Taipei Bboy City World Final 2017	1vs1 Undisputed Top 16 Knock-Out	Aslan aka Bootuz	Kid Colombia	Aslan aka Bootuz	2	5	2	0	0	9	1	0	Skim	Storm	Renegade	Gino	Narumi					red	red	blue	red	red					red	red	red	red	red																													
Taipei Bboy City World Final 2017	1vs1 Undisputed Top 16 Knock-Out	Vero	Sky	Vero	2	5	2	0	0	9	1	0	Skim	Storm	Renegade	Gino	Narumi					red	red	red	red	red					red	red	red	blue	red																													
