event	stage	breaker 1 (red)	breaker 2 (blue)	winner	battle rounds	number of judges	breaker 1 round wins	breaker 2 round wins	tie rounds	breaker 1 vote count	breaker 2 vote count	tie vote count	judge 1 name	judge 2 name	judge 3 name	judge 4 name	judge 5 name	judge 6 name	judge 7 name	judge 8 name	judge 9 name	r1j1over	r1j2over	r1j3over	r1j4over	r1j5over	r1j6over	r1j7over	r1j8over	r1j9over	r2j1over	r2j2over	r2j3over	r2j4over	r2j5over	r2j6over	r2j7over	r2j8over	r2j9over	r3j1over	r3j2over	r3j3over	r3j4over	r3j5over	r3j6over	r3j7over	r3j8over	r3j9over																
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	Tricky	Lil G	Lil G	2	7	0	1	1	5	8	1	Swiftrock	Physicx	Dyzee	Moy	Twixx	Renegade	Ronnie Ruen			blue	blue	red	red	red	blue	tie			blue	red	blue	blue	blue	blue	red																											
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	B-Girl Terra	El Niño	El Niño	1	7	0	1	0	0	7	0	Swiftrock	Physicx	Dyzee	Moy	Twixx	Fever One	Ronnie Ruen			blue	blue	blue	blue	blue	blue	blue																																				
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	Lil Zoo	Taisuke	Taisuke	1	7	0	1	0	2	5	0	Swiftrock	Physicx	Dyzee	Moy	Twixx	Renegade	Fever One			blue	red	blue	blue	blue	blue	red																																				
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	Skim	Focus	Focus	1	7	0	1	0	3	4	0	Swiftrock	Physicx	Dyzee	Moy	Twixx	Renegade	Ronnie Ruen			blue	blue	blue	blue	red	red	red																																				
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	RoxRite	Dol	RoxRite	1	7	1	0	0	5	2	0	Swiftrock	Physicx	Dyzee	Moy	Twixx	Renegade	Fever One			red	red	blue	red	red	red	blue																																				
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	Thriller	Cheerito	Cheerito	1	7	0	1	0	1	6	0	Swiftrock	Physicx	Dyzee	Moy	Twixx	Renegade	Ronnie Ruen			red	blue	blue	blue	blue	blue	blue																																				
Silverback Open Championship 2016	1vs1 Undisputed Top 32 Knock-Out	Issei	Pocket	Issei	1	7	1	0	0	6	1	0	Swiftrock	Physicx	Dyzee	Moy	Twixx	Renegade	Ronnie Ruen			red	red	red	red	blue	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Victor	Issei	Victor	3	7	2	1	0	13	7	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	red	blue	blue	blue	red	red			red	blue	blue	red	red	blue	red			red	red	tie	red	red	red	red																		
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Issei	Sunni	Issei	2	7	2	0	0	11	2	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	tie	red	red	red	red	blue			red	red	red	red	blue	red	red																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Victor	Hong 10	Victor	2	7	2	0	0	10	2	2	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	red	red	red	red	blue	red			red	red	blue	red	tie	red	tie																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Nasty Ray	Sunni	Sunni	2	7	0	2	0	6	8	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	red	blue	blue	blue	red	red			blue	blue	blue	blue	red	red	red																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Kareem	Issei	Issei	2	7	0	2	0	3	11	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	red	blue	blue	blue	red			blue	blue	red	blue	blue	blue	blue																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Wing	Hong 10	Hong 10	3	7	1	2	0	6	13	2	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	tie	blue	blue	blue	blue	blue			red	red	blue	red	red	blue	blue			blue	blue	blue	blue	tie	blue	red																		
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Kid Colombia	Victor	Victor	2	7	0	2	0	5	8	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	tie	blue	blue	blue	red	red			red	red	blue	blue	red	blue	blue																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Sunni	Thomaz	Sunni	2	7	2	0	0	12	2	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	red	red	red	red	red	blue			red	red	red	red	red	red	blue																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Gravity	Nasty Ray	Nasty Ray	2	7	0	2	0	3	10	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	blue	blue	blue	tie	red	blue			red	blue	blue	blue	blue	blue	blue																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Kill	Issei	Issei	2	7	0	2	0	2	11	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	blue	red	red	blue			blue	blue	tie	blue	blue	blue	blue																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Kareem	Zeku	Kareem	2	7	2	0	0	14	0	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	red	red	red	red	red	red			red	red	red	red	red	red	red																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Shigekix	Hong 10	Hong 10	3	7	1	2	0	4	14	3	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	tie	blue	red	red	red	tie			blue	blue	tie	blue	blue	blue	blue			blue	blue	blue	blue	blue	blue	blue																		
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Wing	Menno	Wing	2	7	2	0	0	12	1	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	red	red	tie	red	red	blue			red	red	red	red	red	red	red																											
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Victor	Cheerito	Victor	3	7	2	1	0	11	7	3	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	red	blue	blue	blue			red	tie	red	red	tie	blue	red			red	red	tie	red	red	red	red																		
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Xisco	Kid Colombia	Kid Colombia	3	7	1	2	0	10	11	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	blue	red	red	red	red	red			blue	red	blue	red	blue	red	blue			blue	blue	blue	blue	blue	blue	red																		
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Alkolil	Thomaz	Thomaz	1	7	0	1	0	3	4	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	red	blue	blue	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Killa-Kolya	Sunni	Sunni	1	7	0	1	0	1	6	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	red	blue	blue	blue	blue																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Nasty Ray	Yarko	Nasty Ray	1	7	1	0	0	5	2	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	red	red	red	red	red	blue																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Gravity	Ken Fury	Gravity	1	7	1	0	0	6	0	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	tie	red	red	red	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Robin	Issei	Issei	1	7	0	1	0	1	5	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	blue	tie	blue	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Ben$tacks	Kill	Kill	1	7	0	1	0	0	6	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	blue	blue	blue	tie																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Skim	Zeku	Zeku	1	7	0	1	0	2	5	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	blue	blue	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Kareem	Gun	Kareem	1	7	1	0	0	5	2	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	red	blue	red	red	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Hong 10	Ronnie	Hong 10	1	7	1	0	0	5	0	2	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			tie	tie	red	red	red	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Moy	Shigekix	Shigekix	1	7	0	1	0	1	6	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	blue	blue	blue	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Menno	Luigi	Menno	1	7	1	0	0	6	0	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	red	tie	red	red	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Wing	Scumbag Jose	Wing	1	7	1	0	0	6	0	1	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	red	red	red	tie	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Cheerito	Illz	Cheerito	1	7	1	0	0	7	0	0	Poe One	Ken Swift	Free	Focus	Ronnie Ruen	Wicket	Yan			red	red	red	red	red	red	red																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Morris	Victor	Victor	1	7	0	1	0	2	5	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	blue	blue	red	red	blue																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	Pocket	Kid Colombia	Kid Colombia	1	7	0	1	0	3	4	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			red	blue	red	red	blue	blue	blue																																				
Silverback Open Championships 2015	Top32 1vs1 B-Boying Top 32 Knock-Out	El Niño	Xisco	Xisco	1	7	0	1	0	1	6	0	Poe One	Ken Swift	Free	Focus	Ghost	Wicket	Yan			blue	blue	red	blue	blue	blue	blue																																				
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	El Niño	Gravity	El Niño	4	5	3	1	0	11	8	1	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	blue	blue	blue					red	blue	red	red	red					red	tie	red	blue	red					red	red	red	blue	red											
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Niek	Gravity	Gravity	4	5	1	2	1	9	10	1	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	tie	blue	red	red					red	red	red	red	red					blue	blue	blue	red	red					blue	blue	blue	blue	blue											
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	El Niño	Illz	El Niño	2	5	2	0	0	8	2	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					red	red	red	red	red					blue	red	blue	red	red																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Morris	Gravity	Gravity	2	5	0	2	0	1	9	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	blue	red	blue					blue	blue	blue	blue	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Niek	Moy	Niek	2	5	2	0	0	7	3	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	red	red	red	red					blue	red	blue	red	red																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Illz	Nori	Illz	2	5	2	0	0	7	2	1	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	tie	red	red	red					red	red	red	red	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	El Niño	TawfiQ	El Niño	2	5	2	0	0	9	0	1	Poe One	Swiftrock	Flomaster	Storm	Wicket					red	red	red	red	red					red	tie	red	red	red																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Palmer	Gravity	Gravity	2	5	0	2	0	1	9	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	red	blue	blue					blue	blue	blue	blue	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Lazy	Morris	Morris	2	5	0	2	0	0	10	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Bebo	Moy	Moy	2	5	0	2	0	2	8	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	blue	blue	blue					blue	blue	red	red	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Niek	Mighty Wealthy	Mighty Wealthy	2	5	0	2	0	0	10	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Nasty Ray	Nori	Nori	2	5	0	2	0	2	8	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	blue	blue	blue	blue					blue	blue	red	red	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Kleju	Illz	Illz	2	5	0	2	0	2	8	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					blue	red	blue	blue	red					blue	blue	blue	blue	blue																													
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	Ronnie Ruen	TawfiQ	TawfiQ	3	5	1	2	0	5	8	2	Poe One	Swiftrock	Flomaster	Storm	Wicket					red	red	red	blue	red					tie	red	blue	blue	blue					blue	tie	blue	blue	blue																				
Freestyle Session World Finals 2014	1vs1 Undisputed Top 16 Knock-Out	El Niño	Yarko	El Niño	2	5	2	0	0	8	2	0	Poe One	Swiftrock	Flomaster	Storm	Wicket					red	red	red	red	red					blue	red	blue	red	red																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Alkolil	Kleju	Alkolil	4	5	3	1	0	10	10	0	Neguin	The End	Poe One	Renegade	RoxRite					blue	red	red	blue	red					blue	red	red	red	red					blue	blue	blue	blue	blue					red	red	blue	blue	red											
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Benny	Kleju	Kleju	2	5	0	2	0	1	9	0	Neguin	The End	Poe One	Renegade	RoxRite					blue	blue	blue	red	blue					blue	blue	blue	blue	blue																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Alkolil	Kazuki Rok	Alkolil	3	5	2	1	0	9	6	0	Neguin	The End	Poe One	Renegade	RoxRite					red	blue	red	red	red					blue	red	blue	blue	blue					red	red	red	blue	red																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Kleju	Lil Zoo	Kleju	3	5	2	1	0	8	7	0	Neguin	The End	Poe One	Renegade	RoxRite					red	blue	red	red	blue					blue	blue	blue	blue	blue					red	red	red	red	red																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	T-Rock	Benny	Benny	3	5	1	2	0	4	11	0	Neguin	The End	Poe One	Renegade	RoxRite					blue	blue	blue	blue	blue					blue	blue	red	red	red					blue	red	blue	blue	blue																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Kazuki Rok	Kid Colombia	Kazuki Rok	3	5	2	1	0	12	3	0	Neguin	The End	Poe One	Renegade	RoxRite					red	blue	blue	blue	red					red	red	red	red	red					red	red	red	red	red																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Gravity	Alkolil	Alkolil	3	5	1	2	0	6	8	1	Neguin	The End	Poe One	Renegade	RoxRite					blue	blue	blue	blue	blue					red	red	red	red	red					red	blue	tie	blue	blue																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Lil Zoo	Khalil	Khalil	3	5	1	2	0	5	10	0	Neguin	The End	Poe One	Renegade	RoxRite					blue	blue	red	blue	blue					blue	red	red	red	red					blue	blue	blue	blue	blue																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Kleju	Mini Joe	Kleju	2	5	2	0	0	10	0	0	Neguin	The End	Poe One	Renegade	RoxRite					red	red	red	red	red					red	red	red	red	red																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Benny	Onel	Benny	3	5	2	1	0	12	3	0	Neguin	The End	Poe One	Renegade	RoxRite					red	blue	blue	red	blue					red	red	red	red	red					red	red	red	red	red																				
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Noe	T-Rock	T-Rock	2	5	0	2	0	0	10	0	Neguin	The End	Poe One	Renegade	RoxRite					blue	blue	blue	blue	blue					blue	blue	blue	blue	blue																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Kid Colombia	Rafa Stil	Kid Colombia	2	5	2	0	0	10	0	0	Neguin	The End	Poe One	Renegade	RoxRite					red	red	red	red	red					red	red	red	red	red																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Kazuki Rok	Zip Rock	Kazuki Rok	2	5	2	0	0	7	3	0	Neguin	The End	Poe One	Renegade	RoxRite					blue	red	red	red	red					blue	red	red	red	blue																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Alkolil	Kacyo	Alkolil	2	5	2	0	0	10	0	0	Neguin	The End	Poe One	Renegade	RoxRite					red	red	red	red	red					red	red	red	red	red																													
BOTY International 1vs1 Battle 2014	1vs1 Undisputed Top 16 Knock-Out	Gravity	Hugga	Gravity	2	5	2	0	0	10	0	0	Neguin	The End	Poe One	Renegade	RoxRite					red	red	red	red	red					red	red	red	red	red																													
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Menno	Kareem	Menno	2	5	2	0	0	7	3	0	RoxRite	Lil Cesar	Storm	FanFan	Prince					red	blue	red	blue	red					red	blue	red	red	red																													
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Zoot	Kareem	Kareem	4	5	1	2	1	9	10	1	RoxRite	Lil Cesar	Storm	FanFan	Prince					blue	blue	blue	red	blue					red	red	red	red	red					tie	blue	blue	red	red					blue	blue	blue	blue	red											
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Menno	Kolobok	Menno	2	5	2	0	0	10	0	0	RoxRite	Lil Cesar	Storm	FanFan	Prince					red	red	red	red	red					red	red	red	red	red																													
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Kareem	Lil G	Kareem	3	5	2	1	0	7	6	2	RoxRite	Lil Cesar	Storm	FanFan	Prince					blue	blue	blue	blue	blue					red	tie	red	red	red					red	blue	red	tie	red																				
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Zoot	Kazuki Rok	Zoot	3	5	2	1	0	10	5	0	RoxRite	Lil Cesar	Storm	FanFan	Prince					blue	red	red	blue	blue					red	red	blue	red	red					blue	red	red	red	red																				
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Kolobok	Chey	Kolobok	2	5	2	0	0	8	2	0	RoxRite	Lil Cesar	Storm	FanFan	Prince					red	red	red	blue	blue					red	red	red	red	red																													
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Menno	Cri6	Menno	2	5	2	0	0	10	0	0	RoxRite	Lil Cesar	Storm	FanFan	Prince					red	red	red	red	red					red	red	red	red	red																													
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Lil G	Admiracles	Lil G	2	3	2	0	0	5	1	0	Lilou	Storm	Niek							blue	red	red							red	red	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Kareem	Kiami	Kareem	2	3	2	0	0	6	0	0	Lilou	Storm	Niek							red	red	red							red	red	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Kazuki Rok	Willy	Kazuki Rok	2	3	2	0	0	5	1	0	Lilou	Storm	Niek							blue	red	red							red	red	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Zoot	Toleek	Zoot	2	3	2	0	0	5	1	0	Lilou	Storm	Niek							red	red	blue							red	red	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Chey	Azone	Chey	2	3	2	0	0	6	0	0	Lilou	Storm	Niek							red	red	red							red	red	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Kolobok	Luan San	Kolobok	2	3	2	0	0	5	1	0	Lilou	Storm	Niek							red	red	red							red	blue	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Cri6	Liquid Man	Cri6	2	3	2	0	0	5	1	0	Lilou	Storm	Niek							red	red	blue							red	red	red																															
Chelles Battle Pro 2014	1vs1 Undisputed Top 16 Knock-Out	Menno	Benny	Menno	2	3	2	0	0	5	1	0	Lilou	Storm	Niek							red	red	red							red	red	blue																															
